Team,Avg Points Per Game,Avg Poss Per Game
AR-Pine Bluff,77.03,75.4
Abl Christian,73.0,73.69
Air Force,66.5,64.87
Akron,74.39,68.23
Alabama,90.84,76.06
Alabama A&M,68.81,73.63
Alabama St,69.19,72.35
Albany,78.87,76.4
Alcorn St,72.16,69.36
American,69.13,64.82
App State,78.88,72.34
Arizona,88.84,76.04
Arizona St,69.42,71.84
Arkansas,78.12,74.8
Arkansas St,76.65,71.7
Army,60.06,64.73
Auburn,83.24,72.68
Austin Peay,74.45,67.95
BYU,82.31,70.94
Ball St,73.67,69.61
Baylor,81.12,69.54
Bellarmine,68.87,67.88
Belmont,78.38,73.25
Bethune,73.16,73.86
Binghamton,72.38,70.58
Boise St,76.13,68.45
Boston College,75.0,69.52
Boston U,66.06,67.34
Bowling Green,73.97,71.54
Bradley,74.81,69.12
Brown,71.7,70.3
Bryant,79.0,77.62
Bucknell,65.25,65.71
Buffalo,68.0,71.69
Butler,77.42,71.36
C Arkansas,71.97,72.09
C Connecticut,72.7,69.8
C Michigan,66.81,69.41
CS Bakersfield,68.42,68.22
CS Fullerton,67.77,69.22
CS Northridge,75.24,75.39
Cal Baptist,67.66,67.5
Cal Poly,62.9,68.98
California,73.9,72.29
Campbell,71.13,69.0
Canisius,70.97,70.7
Charleston,80.42,71.0
Charleston So,68.03,69.32
Charlotte,69.23,64.71
Chattanooga,78.03,69.97
Chicago St,68.28,69.24
Cincinnati,75.18,70.07
Clemson,78.13,69.42
Cleveland St,76.39,70.21
Coastal Car,73.8,73.27
Colgate,71.42,67.54
Colorado,79.64,71.26
Colorado St,76.82,68.5
Columbia,77.0,71.23
Coppin St,58.11,66.88
Cornell,82.96,73.02
Creighton,80.77,69.75
Dartmouth,61.31,67.26
Davidson,70.29,67.77
Dayton,72.9,65.86
DePaul,64.97,69.76
Delaware,73.69,69.13
Delaware St,70.88,72.77
Denver,81.42,73.99
Detroit Mercy,65.55,69.7
Drake,80.36,71.49
Drexel,72.84,66.9
Duke,80.19,68.38
Duquesne,71.18,68.39
E Carolina,69.62,67.37
E Illinois,69.26,67.53
E Kentucky,81.3,73.65
E Michigan,66.17,67.87
E Tennessee St,71.56,69.95
E Texas A&M,72.19,72.45
E Washington,81.19,72.48
Elon,73.68,69.31
Evansville,71.94,71.07
F Dickinson,76.42,75.61
FGCU,70.65,66.85
Fairfield,76.18,70.36
Florida,85.68,75.63
Florida A&M,67.25,72.4
Florida Atlantic,82.84,71.39
Florida Intl,74.06,73.7
Florida St,76.84,73.91
Fordham,70.72,72.4
Fresno St,67.44,68.08
Furman,79.56,73.34
G Washington,77.32,73.7
Gardner-Webb,73.56,71.62
George Mason,71.48,66.19
Georgetown,71.32,69.12
Georgia,74.62,71.48
Georgia So,73.12,71.75
Georgia St,76.53,72.18
Georgia Tech,70.71,70.67
Gonzaga,85.68,71.65
Grambling,67.36,68.98
Grand Canyon,79.5,70.96
Green Bay,68.55,65.73
Hampton,70.27,71.98
Harvard,70.42,69.39
Hawai'i,72.52,69.63
High Point,84.38,71.74
Hofstra,74.69,67.96
Holy Cross,66.56,66.78
Hou Christian,71.64,75.47
Houston,74.0,65.83
Howard,75.3,72.37
IU Indy,65.87,70.01
Idaho,67.94,67.25
Idaho St,70.88,67.3
Illinois,84.15,72.45
Illinois Chicago,71.0,71.08
Illinois St,66.94,66.43
Incarnate Word,72.93,73.69
Indiana,72.5,70.63
Indiana St,84.55,72.87
Iona,71.59,69.09
Iowa,83.1,73.77
Iowa St,75.76,69.66
J Madison,84.15,74.1
Jackson St,71.52,71.9
Jacksonville,71.38,70.26
Jacksonville St,70.1,68.65
Kansas,76.0,71.31
Kansas City,72.26,69.79
Kansas St,72.34,71.53
Kennesaw St,82.73,77.78
Kent St,75.24,70.0
Kentucky,89.52,76.09
LIU,64.24,72.83
LSU,76.87,72.35
La Salle,72.66,69.55
Lafayette,62.87,67.09
Lamar,78.47,72.99
Le Moyne,73.13,70.71
Lehigh,73.26,72.93
Liberty,74.35,67.34
Lindenwood,65.67,70.0
Lipscomb,82.29,71.94
Little Rock,78.06,71.55
Long Beach St,77.85,74.85
Longwood,75.27,71.13
Louisiana,74.0,71.43
Louisiana Tech,75.0,69.29
Louisville,71.58,72.04
Loyola Chi,73.42,70.79
Loyola MD,64.55,67.54
Loyola Mymt,72.47,67.68
Maine,67.94,70.0
Manhattan,66.48,71.53
Marist,64.77,66.63
Marquette,78.94,70.64
Marshall,74.09,73.68
Maryland,69.44,68.25
Maryland ES,62.38,69.8
McNeese,80.06,68.76
Memphis,81.0,74.1
Mercer,71.59,68.55
Merrimack,69.88,70.85
Miami,76.1,71.38
Miami OH,70.84,70.05
Michigan,73.45,71.1
Michigan St,73.47,67.97
Middle Tenn,66.03,68.89
Milwaukee,79.59,73.31
Minnesota,75.68,69.38
Miss Valley St,55.07,67.65
Mississippi,75.06,69.54
Mississippi St,75.03,70.52
Missouri,72.58,70.23
Missouri St,71.62,70.34
Monmouth,72.84,69.16
Montana,77.42,68.34
Montana St,74.82,71.59
Morehead St,75.67,67.41
Morgan St,72.93,73.51
Mt St Mary's,73.1,71.61
Murray St,70.87,66.88
N Alabama,76.65,71.38
N Arizona,68.91,70.67
N Colorado,80.39,73.36
N Dakota St,75.16,69.56
N Florida,77.35,71.23
N Illinois,73.03,72.07
N Iowa,73.28,69.39
N Kentucky,74.84,71.73
N Texas,69.03,64.48
NC A&T,65.68,69.13
NC Asheville,79.48,72.66
NC Central,77.23,71.47
NC Greensboro,76.13,68.28
NC State,76.14,70.61
NC Wilmington,80.17,69.11
NJIT,67.41,69.42
NW State,70.74,72.28
Navy,66.63,67.39
Nebraska,77.28,71.29
Nevada,76.38,68.59
New Hampshire,74.63,74.64
New Mexico,82.12,71.92
New Mexico St,67.65,70.75
New Orleans,74.06,75.34
Niagara,72.9,69.86
Nicholls,73.82,71.55
Norfolk St,74.31,70.15
North Carolina,81.64,72.89
North Dakota,75.35,69.23
Northeastern,69.55,66.9
Northwestern,74.1,66.84
Notre Dame,64.19,66.59
Oakland,76.21,70.34
Ohio,77.78,70.21
Ohio St,74.94,68.32
Oklahoma,75.55,69.9
Oklahoma St,71.29,69.94
Old Dominion,70.48,72.76
Omaha,74.31,69.71
Oral Roberts,73.73,70.46
Oregon,75.33,70.39
Oregon St,69.26,69.61
Pacific,65.42,70.9
Penn,74.14,68.71
Penn St,75.59,71.9
Pepperdine,73.47,67.35
Pittsburgh,75.94,68.08
Portland,69.97,70.56
Portland St,71.65,70.91
Prairie View,67.68,74.23
Presbyterian,75.16,70.77
Princeton,76.93,66.21
Providence,73.0,70.59
Purdue,83.66,71.03
Purdue FW,81.38,74.28
Queens,80.38,75.21
Quinnipiac,78.34,72.99
Radford,72.31,67.27
Rhode Island,72.61,70.34
Rice,71.71,69.6
Richmond,72.68,68.9
Rider,72.94,71.07
Robert Morris,73.0,70.86
Rutgers,65.84,69.93
S Alabama,74.06,72.47
S Carolina St,70.55,72.74
S Dakota St,76.79,70.22
S Florida,75.6,70.51
S Illinois,72.35,67.39
S Indiana,68.74,71.38
S Utah,75.27,73.05
SC Upstate,71.38,70.76
SE Louisiana,69.13,68.71
SE Missouri St,66.93,71.89
SF Austin,74.53,74.5
SIU Edward,71.78,68.85
SMU,76.87,69.79
Sacramento St,67.0,66.61
Sacred Heart,74.68,71.85
Saint Joseph's,76.03,69.97
Saint Louis,75.0,71.15
Saint Mary's,74.41,64.65
Saint Peter's,65.26,67.53
Sam Houston,72.44,71.55
Samford,86.27,75.5
San Diego,70.09,72.58
San Diego St,75.0,69.72
San Francisco,77.94,69.59
San Jose St,69.87,68.03
Santa Clara,77.28,71.57
Seattle,73.62,71.46
Seton Hall,72.81,69.15
Siena,60.29,68.28
South Carolina,72.56,65.89
South Dakota,76.52,72.29
Southern,71.52,72.35
Southern Miss,70.23,70.59
St Bonaventure,73.88,68.44
St Francis PA,65.28,68.51
St John's,78.5,70.77
St Thomas,73.53,65.28
Stanford,76.81,73.08
Stetson,77.0,68.57
Stonehill,63.33,70.64
Stony Brook,73.35,69.72
Syracuse,76.68,73.2
TCU,80.31,73.11
Tarleton St,73.19,69.76
Temple,70.91,70.3
Tenn Tech,68.2,69.14
Tennessee,80.23,71.84
Tennessee St,73.16,71.72
Texas,76.61,69.4
Texas A&M,74.33,68.66
Texas A&M-CC,75.61,72.82
Texas So,70.29,71.38
Texas St,69.91,70.21
Texas Tech,76.09,68.62
The Citadel,70.45,68.21
Toledo,80.68,71.95
Towson,67.88,64.95
Troy,79.94,73.93
Tulane,82.3,76.26
Tulsa,74.87,73.58
UAB,77.61,71.1
UC Davis,71.28,69.55
UC Irvine,77.66,71.35
UC Riverside,70.82,68.92
UCF,71.48,70.87
UCLA,65.97,66.19
UCSB,75.1,70.73
UCSD,76.23,68.57
UConn,81.73,67.16
UL Monroe,69.83,71.0
UMBC,78.32,75.66
UMass,78.07,70.74
UMass Lowell,80.65,74.93
UNLV,70.94,67.74
USC,74.91,71.96
UT Arlington,76.97,73.12
UT Martin,81.65,76.48
UT Rio Grande,70.73,75.95
UTEP,72.7,72.76
UTSA,78.13,73.86
Utah,78.69,72.53
Utah St,80.09,71.45
Utah Tech,70.77,73.89
Utah Valley,68.9,71.17
VCU,72.12,67.96
VMI,68.97,75.98
Valparaiso,67.81,69.82
Vanderbilt,67.35,68.67
Vermont,72.52,66.79
Villanova,70.69,66.8
Virginia,63.53,62.79
Virginia Tech,74.97,68.48
W Carolina,76.87,70.66
W Illinois,69.22,68.64
W Kentucky,80.66,77.22
W Michigan,71.81,70.29
Wagner,63.87,64.86
Wake Forest,78.47,69.98
Washington,80.81,74.59
Washington St,75.0,68.46
Weber St,75.23,68.49
West Virginia,69.32,70.63
Wichita St,73.18,71.44
William & Mary,70.28,68.17
Winthrop,78.03,71.37
Wisconsin,74.71,67.41
Wofford,75.06,69.55
Wright St,86.13,74.23
Wyoming,72.84,69.58
Xavier,76.34,72.97
Yale,75.6,68.05
Youngstown St,81.55,72.56
